Key,Color,State,Online?,Link,Price,Other,
,Orange,Tennessee,Have to contact indiviudal county election offices,,,? http://www.gravismarketing.com/tennessee-voting-records,
,,Texas,"Mail, fax request form",https://www.sos.state.tx.us/elections/forms/pi.pdf,Varies based on how many voters,,
,Red,Vermont,Not on SOS site,,,,
,,Utah,Request form,https://elections.utah.gov/voterdatabase,"$1,050 ",,
,,Virginia,"Must contact Andrea Walker at andrea.walker@elections.virginia.gov or at (804) 864-8905.",https://www.elections.virginia.gov/candidatepac-info/client-services/,"""a reasonable cost"".... invoice provided after ""qualifications"" of requester are verified",,
,,Washington,Request online and you'll be emailed a file,https://www.sos.wa.gov/elections/vrdb/extract-requests.aspx,Free,,
,,West Virginia,"Email, mail, fax request form",https://sos.wv.gov/elections/Pages/Voter_Registration_Data_Request.aspx,$500 ,,
,Orange,Wisconsin,GAB (BlueBook) data,http://elections.wi.gov/node/3174,"$12,500.00 ",,
,,Wyoming,mail in form,https://soswy.state.wy.us/Forms/Elections/General/VoterProductOrderForm.pdf,Price not stated,,
https://abcnews.go.com/Politics/state-responded-trumps-voter-data-request/story?id=48437423,,,,,,,
